Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR28172331,OTHER,302,14627180042,PRJNA1082417,SAMN40210196,Metagenome or environmental,4966444673,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802490,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.66 N 116.18 E,A024,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:35:00Z,1,A024,SRP492714
SRR28172332,OTHER,302,14463937264,PRJNA1082417,SAMN40210268,Metagenome or environmental,4444035432,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802489,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.50 E,A114,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:30:00Z,1,A114,SRP492714
SRR28172333,OTHER,302,13295166158,PRJNA1082417,SAMN40210267,Metagenome or environmental,4369228771,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802488,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.49 E,A150,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:27:00Z,1,A150,SRP492714
SRR28172334,OTHER,302,13242156400,PRJNA1082417,SAMN40210195,Metagenome or environmental,4509004113,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802487,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.65 N 116.18 E,A018,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:30:00Z,1,A018,SRP492714
SRR28172335,OTHER,302,16925024958,PRJNA1082417,SAMN40210266,Metagenome or environmental,5585707770,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802486,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.48 E,A147,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:33:00Z,1,A147,SRP492714
SRR28172336,OTHER,302,12625257376,PRJNA1082417,SAMN40210265,Metagenome or environmental,4098323373,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802485,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.47 E,A146,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:29:00Z,1,A146,SRP492714
SRR28172337,OTHER,302,13128015198,PRJNA1082417,SAMN40210264,Metagenome or environmental,4313402760,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802484,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.46 E,A143,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:25:00Z,1,A143,SRP492714
SRR28172338,OTHER,302,13324529014,PRJNA1082417,SAMN40210263,Metagenome or environmental,4412671813,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802483,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.45 E,A139,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:25:00Z,1,A139,SRP492714
SRR28172339,OTHER,302,12639560096,PRJNA1082417,SAMN40210262,Metagenome or environmental,4084405940,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802482,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.44 E,A136,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:25:00Z,1,A136,SRP492714
SRR28172340,OTHER,302,13347899586,PRJNA1082417,SAMN40210261,Metagenome or environmental,4360514694,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802481,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.43 E,A135,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:33:00Z,1,A135,SRP492714
SRR28172341,OTHER,302,16834174600,PRJNA1082417,SAMN40210260,Metagenome or environmental,5410534501,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802480,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.42 E,A134,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:29:00Z,1,A134,SRP492714
SRR28172342,OTHER,302,16329198588,PRJNA1082417,SAMN40210259,Metagenome or environmental,5471117416,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802479,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.41 E,A133,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:35:00Z,1,A133,SRP492714
SRR28172343,OTHER,302,13394841560,PRJNA1082417,SAMN40210258,Metagenome or environmental,4380655858,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802478,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.40 E,A131,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:35:00Z,1,A131,SRP492714
SRR28172344,OTHER,302,14513596936,PRJNA1082417,SAMN40210257,Metagenome or environmental,4700846332,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802477,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.39 E,A129,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:30:00Z,1,A129,SRP492714
SRR28172345,OTHER,302,13792537206,PRJNA1082417,SAMN40210194,Metagenome or environmental,4747601639,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802476,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.64 N 116.18 E,A017,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:30:00Z,1,A017,SRP492714
SRR28172346,OTHER,302,13258555906,PRJNA1082417,SAMN40210256,Metagenome or environmental,4289710346,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802475,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.38 E,A128,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:32:00Z,1,A128,SRP492714
SRR28172347,OTHER,302,12808134382,PRJNA1082417,SAMN40210255,Metagenome or environmental,4228483944,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802474,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.37 E,A126,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:29:00Z,1,A126,SRP492714
SRR28172348,OTHER,302,13299701594,PRJNA1082417,SAMN40210254,Metagenome or environmental,4355239394,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802473,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.36 E,A123,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:26:00Z,1,A123,SRP492714
SRR28172349,OTHER,302,12986814494,PRJNA1082417,SAMN40210253,Metagenome or environmental,4232174276,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802472,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.35 E,A121,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:29:00Z,1,A121,SRP492714
SRR28172350,OTHER,302,15324365766,PRJNA1082417,SAMN40210252,Metagenome or environmental,4937800816,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802471,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.34 E,A120,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:27:00Z,1,A120,SRP492714
SRR28172351,OTHER,302,14645047570,PRJNA1082417,SAMN40210251,Metagenome or environmental,4748158314,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802470,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.33 E,A118,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:26:00Z,1,A118,SRP492714
